Bethel Music,Without Words: Genesis,15-11-2019,spotify:album:0CLCgSt8wDFmoDpLLN09X2,
Bethel Music,Bethel Music en Español,15-02-2019,spotify:album:1VCnNZHwArLVhTZZrqYlk1,
Bethel Music,Victory,25-01-2019,spotify:album:6EsmModhcfmKIeCeNQjeDY,
Bethel Music,Moments: Mighty Sound,11-05-2018,spotify:album:5IGjIGu16MS3cu4CxLsXn3,
Bethel Music,After All These Years (Instrumental),14-07-2017,spotify:album:3oeoGMDFnsw8FCnQuIghpx,
Bethel Music,Starlight (Live),07-04-2017,spotify:album:1m7Bc6eGK8BgjTpwprlhUh,
Bethel Music,Have It All (Live),11-03-2016,spotify:album:1Jwe1Xa8cuTizhE5EGozP2,
Bethel Music,Without Words: Synesthesia,31-07-2015,spotify:album:0RGI3UG8SabiVYyEJqGYSj,
Bethel Music,We Will Not Be Shaken (Live),26-01-2015,spotify:album:2e3CuXNmlLd5d8OoI2naop,
Bethel Music,You Make Me Brave (Live),21-04-2014,spotify:album:6wuUosaTZizPH4t085tNVg,
Bethel Music,Tides Live,25-02-2014,spotify:album:5UoZvSgWgMxUd3eLzwIkF6,
Bethel Music,Discover Bethel Music,17-12-2013,spotify:album:0fonUNUchRa1Ip1UJtzfrs,
Bethel Music,Tides,03-09-2013,spotify:album:5QrcGc5mBfDV5YaOMfJX7A,
Bethel Music,Without Words,05-03-2013,spotify:album:04U6AESyUgVBkM1WSj47hD,
Bethel Music,For the Sake of the World,02-10-2012,spotify:album:2gyDM9gRebuTUn1VWS2obn,
Bethel Music,The Loft Sessions,24-01-2012,spotify:album:4j0qiJw946YRhJ9UpNcqaA,
Bethel Music,Here Is Love,26-07-2011,spotify:album:7jfa2AeQlA2dgktCmnldyE,
Bethel Music,Be Lifted High,22-03-2011,spotify:album:6FXvhxVzGXmkZwBdwEYvMx,
Bethel Music,Here Is Love,12-10-2010,spotify:album:47gXVhSwswMnMr7ExQyuoR,
Cory Asbury,Egypt (Live),03-04-2020,spotify:album:055XAfi273yeX9Ba44usnf,
Brandon Lake,We Praise You (Live),06-03-2020,spotify:album:0mW82iAfnMFuA3CvcPBWpE,
Jenn Johnson,God of Revival (Live),07-02-2020,spotify:album:7JBam3GFfmmRhIxOSeUGAG,
kalley,Alabaster Heart (Live),04-10-2019,spotify:album:5kMHXaEbgek2K2KXUg8c4Y,
Melissa Helser,Raise a Hallelujah (Studio Version),08-03-2019,spotify:album:2lvpEuRkSNanccXya3JLG7,
Bethany Wohrle,Mi Esperanza Está en Jesús (Live),01-02-2019,spotify:album:0vcJXwCCranZjRyqJV21gI,
